18:34:44.289 [main] INFO  api.test.UserTest - ***********Creating User************
18:34:46.974 [main] INFO  api.test.UserTest - *********** User Created ************
18:34:46.999 [main] INFO  api.test.UserTest - ***********Reading User************
18:34:48.147 [main] INFO  api.test.UserTest - ***********User Info is displayed************
18:34:48.151 [main] INFO  api.test.UserTest - ***********Updating User************
18:34:50.222 [main] INFO  api.test.UserTest - ***********User is Updated************
18:34:52.230 [main] INFO  api.test.UserTest - ***********Deleting User************
18:34:53.317 [main] INFO  api.test.UserTest - ***********User is Deleted************
18:36:53.348 [main] DEBUG api.test.UserTest - ***********Creating User************
18:36:56.028 [main] DEBUG api.test.UserTest - *********** User Created ************
18:36:56.052 [main] DEBUG api.test.UserTest - ***********Reading User************
18:36:57.186 [main] DEBUG api.test.UserTest - ***********User Info is displayed************
18:36:57.191 [main] DEBUG api.test.UserTest - ***********Updating User************
18:36:59.387 [main] DEBUG api.test.UserTest - ***********User is Updated************
18:37:01.395 [main] DEBUG api.test.UserTest - ***********Deleting User************
22:06:48.318 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:06:51.302 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:06:51.318 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:08:07.151 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:08:10.266 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:08:10.305 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:12:42.655 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:12:45.824 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:12:45.838 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:13:42.490 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:13:45.267 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:13:45.280 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:13:46.349 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:13:48.499 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:13:50.511 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:13:51.522 [main] INFO  api.test.UserTest2 - ***********User is Deleted************
22:14:56.146 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:14:58.808 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:15:00.821 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:15:03.883 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:15:06.017 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:15:08.028 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:15:09.043 [main] INFO  api.test.UserTest2 - ***********User is Deleted************
22:24:34.857 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:24:53.468 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:24:55.491 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:27:41.938 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:27:44.824 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:27:46.840 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:32:31.630 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:32:34.545 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:32:36.565 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:33:52.662 [main] INFO  api.test.UserTest2 - ***********User Info is displayed************
22:33:54.670 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:33:56.899 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:33:58.910 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:33:59.928 [main] INFO  api.test.UserTest2 - ***********User is Deleted************
22:34:22.914 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:34:25.642 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:34:27.663 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:34:28.777 [main] INFO  api.test.UserTest2 - ***********User Info is displayed************
22:34:30.791 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:34:32.905 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:34:34.908 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:35:04.029 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:35:07.766 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:35:09.781 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:35:10.846 [main] INFO  api.test.UserTest2 - ***********User Info is displayed************
22:35:12.853 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:35:15.069 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:35:18.079 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:35:19.207 [main] INFO  api.test.UserTest2 - ***********User is Deleted************
22:45:57.922 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:46:00.578 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:46:02.597 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:46:03.675 [main] INFO  api.test.UserTest2 - ***********User Info is displayed************
22:46:05.678 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:46:07.784 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:46:10.789 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:47:56.648 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:48:00.095 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:48:02.125 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:48:05.264 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:48:07.347 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:48:10.361 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:48:11.500 [main] INFO  api.test.UserTest2 - ***********User is Deleted************
22:55:56.909 [main] INFO  api.test.UserTest2 - ***********Creating User************
22:56:00.111 [main] INFO  api.test.UserTest2 - *********** User Created ************
22:56:02.140 [main] INFO  api.test.UserTest2 - ***********Reading User************
22:56:03.239 [main] INFO  api.test.UserTest2 - ***********User Info is displayed************
22:56:05.249 [main] INFO  api.test.UserTest2 - ***********Updating User************
22:56:07.377 [main] INFO  api.test.UserTest2 - ***********User is Updated************
22:56:10.387 [main] INFO  api.test.UserTest2 - ***********Deleting User************
22:56:11.438 [main] INFO  api.test.UserTest2 - ***********User is Deleted************
